Gräber;1110- Keramik 1a;1120 Keramik 1b;1130- Keramik IIb1;1350- Keramik IIb2;1390- Keramik IIb1;1510- Keramik 1ab;1910- Keramik 1a;4120- Keramik 1a;7990- Keramik IIb1;910/31511 Nadel 1a;910/32810 Fibel IIa;910/32840 Fibel IIb1;910/32920 Fibel IIb1;910/34141 Gürtelhaken 1a;911/34231 Bronzebuckel 1ab;911/34323 Ohrringe 1a;911/34324 Ohrringe 1a;912/32850 Fibel IIb2;912/34132 Gürtelring 1b;912/34142 Gürtelhaken 1b
Bef. 11;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
Bef. 24;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Bef. 32;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Bef. 87;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Bef. 92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
Bef. 95;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0
Bef. 97;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
Bef. 99;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
Bef. 122;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Bef. 129;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Bef. 143;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
Bef. 145;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Bef. 150;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Bef. 151;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1
Bef. 161;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Bef. 165;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Bef. 178;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Bef. 179;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Bef. 180;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Bef. 181;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Bef. 183;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Bef. 184;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Bef. 186;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
Bef. 187;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Bef. 189;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Bef. 194;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Bef. 195;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
Bef. 250;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Bef. 253;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Bef. 265;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Bef. 267;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
Bef. 269;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Bef. 288;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Bef. 313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
Bef. 342;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Bef. 415;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Bef. 416;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
