ID,site_id,sex_gender,age,amount,phase_id
1,29,indet,indiff,115,42
2,29,indet,indiff,147,43
3,29,indet,indiff,74,44
4,29,indet,indiff,26,45
5,29,indet,indiff,21,46
6,24,indet,indiff,85,32
7,24,indet,indiff,86,33
8,24,indet,indiff,85,34
9,24,indet,indiff,20,35
10,24,indet,indiff,124,36
11,24,indet,indiff,127,37
12,24,indet,indiff,124,38
13,28,indet,indiff,175,121
14,17,indet,indiff,4,10
15,17,indet,indiff,5,11
16,17,indet,indiff,6,12
17,17,indet,indiff,88,13
18,17,indet,indiff,88,14
19,17,indet,indiff,223,15
20,17,indet,indiff,223,16
21,17,indet,indiff,223,17
22,17,indet,indiff,27,116
23,17,indet,indiff,26,117
24,15,indet,indiff,6,48
25,15,indet,indiff,6,49
26,15,indet,indiff,7,50
27,15,indet,indiff,4,51
28,15,indet,indiff,4,52
29,15,indet,indiff,42,53
30,15,indet,indiff,51,54
31,16,indet,indiff,14,26
32,16,indet,indiff,125,27
33,16,indet,indiff,118,28
34,16,indet,indiff,359,29
35,16,indet,indiff,358,30
36,13,indet,indiff,4,26
37,13,indet,indiff,29,27
38,13,indet,indiff,24,28
39,13,indet,indiff,14,29
40,13,indet,indiff,13,30
41,13,indet,indiff,49,116
42,13,indet,indiff,49,117
43,18,indet,indiff,3,9
44,18,indet,indiff,129,10
45,18,indet,indiff,130,11
46,19,indet,indiff,36,17
47,19,indet,indiff,35,116
48,19,indet,indiff,34,117
49,6,indet,indiff,118,122
50,6,indet,indiff,118,23
51,6,indet,indiff,120,24
52,6,indet,indiff,118,25
53,21,indet,indiff,31,16
54,21,indet,indiff,31,17
55,21,indet,indiff,93,116
56,21,indet,indiff,93,117
57,,indet,indiff,551,122
58,10,indet,indiff,2000,122
59,27,indet,indiff,2,18
60,27,indet,indiff,2,9
61,27,indet,indiff,2,10
62,27,indet,indiff,2,11
63,27,indet,indiff,2,12
64,27,indet,indiff,6,13
65,27,indet,indiff,6,14
66,27,indet,indiff,41,122
67,25,indet,indiff,11,83
68,25,indet,indiff,20,84
69,25,indet,indiff,27,85
70,25,indet,indiff,20,86
71,25,indet,indiff,533,122
72,31,indet,indiff,15,104
73,31,indet,indiff,38,105
74,31,indet,indiff,4,106
75,31,indet,indiff,4,107
76,31,indet,indiff,8,116
77,31,indet,indiff,8,117
78,31,indet,indiff,225,114
79,8,indet,indiff,28,23
80,8,indet,indiff,30,24
81,8,indet,indiff,34,25
82,8,indet,indiff,35,26
83,8,indet,indiff,45,27
84,8,indet,indiff,30,28
85,3,indet,indiff,300,136
86,3,indet,indiff,600,137
87,3,indet,indiff,400,140
88,1,indet,indiff,300,138
89,1,indet,indiff,400,139
90,1,indet,indiff,300,141
91,9,indet,indiff,46,49
92,9,indet,indiff,49,50
93,9,indet,indiff,117,51
94,9,indet,indiff,214,52
95,9,indet,indiff,40,53
96,9,indet,indiff,4,54
97,9,indet,indiff,452,122
98,30,indet,inf1,11,122
99,30,indet,inf2,10,122
100,30,indet,ad,19,122
101,30,indet,ad,19,44
102,30,indet,inf2,3,44
103,30,indet,juv,2,44
104,30,indet,inf2,3,45
105,30,indet,ad,8,45
106,30,indet,inf2,2,46
107,30,indet,ad,11,46
