Site,Stream,Barrow,Line of barrows,Other urnfield,Settlement,Celtic field system
Ljørringvej 42,0.06,0.5,0.6,1.3,4.3,14.6
Grønbæksminde III,0.68,0.17,0,0.47,4.7,14
Vesterager,0.7,0.05,0.2,0.47,4.8,13.8
Ravnsbjerg,1,0.06,1,4.9,2.3,3.3
Sirsbæk,0.33,0.9,5.7,0.016,2.7,5.9
Grøntoft L,0.7,0.05,0.3,0.2,0.34,0.5
Ørnhøj,1.5,0.13,2.7,0.29,2.4,0.9
St. Halkjær,1.6,0.05,3.2,0.29,2.4,0.5
Grøntoft 1966,0.65,0.1,0.25,0.26,0.18,0.6
Glibstrup,0.31,0.21,0.23,4.2,0.32,10
Agerhøj,1,3.4,11.6,7.3,8,1
Vejrup,0.5,0.02,0.15,2,9,2.2
Jernvedlund II,0.06,0.07,0,0.12,2.7,4.2
Jernvedlund,0.06,0.02,0,0.12,2.7,4.2
Kalvmose,1.5,0.52,1,4.9,2.4,7.9
Tuesbøl,0.5,0.38,1,5.6,1.5,2.8
Foldingbro,0.05,0.28,0.5,5.6,2.4,1.1
Gjesing,0.43,0.1,1,1.5,0.51,5.6
Kjærsing (Spansgbjerg Mølle),0.24,0.02,1.7,0.16,1.5,8.4
Højgård 2,1.3,0.09,1,1.85,2.8,3.6
Solbakkegård III,1.3,0.06,0.16,1.2,0.92,6.7
Forum,1.6,0.14,0.3,1.8,2,3
Den Hemmelige Skov,0.12,0.01,1,0.16,1.3,8.4
Esbjerg By,0.5,0.02,0.5,2.85,0.95,11
Veldbækvej III,0.64,0.01,1.9,2.6,0.86,9.8
Nordskrænten,0.06,0.23,1.4,1,1.1,9.3
Præstestien (Tobøl),0.08,0.02,2.5,4.7,2.4,2.5
Skads (Tingheden),0.67,0.04,0.08,0.48,0.33,2.1
Sadderup,0.78,0.05,0.55,0.48,0.4,2.2
Sneumvej II,0,0.63,3.1,4.9,2.4,8
Krogsgaard,0.4,1.4,1,2.5,1.3,7.6
Søhale,0.33,0.04,0.7,1.8,0.38,2.4
Omme I,1.35,0.1,0.1,0.38,5.6,0.68
Omme II,0.97,0.07,0.07,0.38,5.8,0.75
Bredmose,0.47,0.33,1.3,2.7,2.4,2.6
Gunderup,1.3,0.03,0,0.6,4.1,1.5
Aarre,1.6,0,0,0.6,4.2,1.9
Harehøj,0.33,0,0,1.7,2.6,0.8
Nygård,1.25,0.11,0.5,1.8,1.4,2.5
Frøstrup,0.4,0.01,0.5,5,5.8,3.3
Mangehøje (langsiggaarde),0.84,0.02,0,2.1,5.3,1
Lydum Hede,0.25,0.02,0.2,1,6.8,0.8
Lydum (Plantage),0.7,0.02,0.8,1,6.8,0.27
Billumvad,0.2,0.18,1,1.7,0.75,0.85
Hulvig,1.5,0.03,2,3.3,2.2,2.3
Gunderup (Malle),0.44,0.4,0.22,3.5,4.2,0.5
Asp,9.75,0.04,0.2,3.4,3,3
Nørholm Hede,1.3,0.51,2.1,2.6,3.3,3
Average,0.9,0.243,1.131,2.037,2.845,4.247
